,trial,eta,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,6,0.031249999999999983,6,0.028887616,2,0.021229065561544195,0.000243142,3,6.938893903907228e-18,3,-0.001479347,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,9,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,6,0.03125,6,0.028887616259590833,2,0.021229065561544167,0.000243142,1,7.979727989493313e-17,3,-0.001479351,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,9,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,6,0.031249999999999983,6,0.028887616,2,0.021229066,0.000243142,2,5.204170427930421e-17,3,-0.001479351,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,9,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,6,0.03125,6,0.028887616259675928,2,0.021229065561544167,0.000243142,3,5.082739784612045e-16,3,-0.001479351,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,9,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,6,0.031249999999999983,6,0.028887616259581406,2,0.021229065561544157,0.000243142,1,8.581677035657265e-15,3,-0.001479351,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,8,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,6,0.03125,6,0.028887616259582357,2,0.021229065561544157,0.000243142,3,-2.60E-17,3,-0.001479328,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,9,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,6,0.031249999999999983,6,0.028887616,2,0.021229065561544153,0.000243142,1,2.688821387764051e-16,3,-0.001479351,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,9,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,6,0.031249999999999983,6,0.028887616,2,0.021229066,0.000243142,1,8.500145032286355e-17,3,-0.00147934,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,9,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,6,0.031249999999999983,6,0.028887616259734027,2,0.021229066,0.000243142,2,1.2382456171522449e-14,3,-0.001479351,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,9,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
0,2,45,90,0.4871887851386411,0.9532208593278473,0.9080384337030383,1,0.031249999999999986,6,0.028887616259586923,2,0.021229065561544143,0.000243142,2,3.648817359369616e-14,3,-0.001479351,2,-0.00931182,0.000266038,6,-0.0625,6,-0.060313872,6,-0.053297394,0.000379611,9,-0.0625,8,-0.060316086,9,-0.05809729,0.000379997,-114.9198302,-26.77383857,67.5
