,trial,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,9,0.057295779513082325,0.987430574592687,0.9824204548143888,0.9874384527471991,1,9.374998630184983e-08,1,9.48390504462715e-08,1,0.0011511456284143433,0.00033135605587635773,3,2.220446049250313e-16,3,4.356282695683333e-09,1,0.00047867410778321996,0.00035485964856887435,6,3.532366999789343e-14,6,4.356254867686268e-09,4,0.00029978595236282435,0.0004663763191360978,9,-0.0002499999583333301,8,-0.00024560507276935595,8,-0.04054772961447986,0.002053242473833004,-43.72522760132533,-9.71449207491852,67.5
0,9,18.045836623610466,0.9887144638933698,0.9857621645913409,0.9880917872212549,2,0.009164434525127108,2,0.009252462437177672,1,0.003368510634166182,0.0005019038899093161,3,0.0,3,0.00033937238754894183,3,-0.0025858498399501106,0.0009262484460917813,5,3.6914915568786455e-15,4,0.0003393723875488863,6,-0.0032617258840848956,0.000772793266411519,8,-0.07744443515534835,8,-0.07634179403428998,8,-0.11253657616716775,0.0017372380282942822,-47.63388603,-9.71449207491852,67.5
0,9,36.03437746770785,0.9890843435803319,0.9861346194717857,0.9884790377665768,1,0.034876007537744586,1,0.03522238183107179,1,0.02583369620574163,0.0012002873135962694,1,-2.7755575615628914e-17,1,0.001194106714351384,3,-0.008647645014943445,0.001469266622341603,6,6.938893903907228e-17,5,0.001194106714351606,6,-0.008133594192381521,0.001416529451044377,9,-0.14706763916465787,9,-0.1450284903842537,8,-0.18449388591179275,0.0017292781889957946,-52.10012487753461,-9.71449207491852,67.5
0,9,54.022918311805235,0.9849020995783311,0.9752827183070365,0.9897556608964638,2,0.07166861127612417,2,0.07307490355497812,3,0.06529732064750243,0.0014977771357184099,3,1.1102230246251565e-16,1,0.004029224923835839,3,-0.010979046717009416,0.0016124675987593204,5,1.6930901125533637e-15,5,0.00402922492381988,5,-0.006317872166025085,0.0013940493708935937,8,-0.202313010937059,9,-0.19731238325557612,8,-0.22347219317351247,0.001552535366121808,-56.47072299289704,-9.71449207491852,67.5
0,9,72.01145915590261,0.9804015166303938,0.9654832626933233,0.9903628128774561,3,0.10824085488177229,2,0.11166445724213744,3,0.10510228630130589,0.0015981380502102765,2,8.534839501805891e-15,3,0.007792921941065765,3,-0.012635626958193445,0.001818666319818067,4,1.3877787807814457e-16,4,0.007792921941133318,5,-0.006227498099617923,0.001972309951836053,9,-0.23777957516812148,9,-0.22957220003515022,8,-0.2443376308509223,0.0015852207866985078,-60.869353712136416,-9.71449207491852,67.5
0,9,90.0,0.9735086470824084,0.9513686239638832,0.9907889513952753,6,0.12499999999999993,1,0.13107892200451454,3,0.13437805496328747,0.0021739814841449092,3,-1.3877787807814457e-17,3,0.012157844009029188,3,-0.008728333598495501,0.0020099189390892216,6,0.0,6,0.012157844009029195,6,-0.0032026527364282797,0.0018462406246394756,9,-0.25,9,-0.2378421559909708,9,-0.23542543054490706,0.0016225279307788831,-65.33527670049666,-9.71449207491852,67.5
