,trial,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,W8_no_XY_name_T,W8_no_XY_min_T,W8_no_XY_name_AT,W8_no_XY_min_AT,W8_no_XY_name_E,W8_no_XY_min_E,W8_no_XY_unc_E,W8_no_YX_name_T,W8_no_YX_min_T,W8_no_YX_name_AT,W8_no_YX_min_AT,W8_no_YX_name_E,W8_no_YX_min_E,W8_no_YX_unc_E,W8_no_XZ_name_T,W8_no_XZ_min_T,W8_no_XZ_name_AT,W8_no_XZ_min_AT,W8_no_XZ_name_E,W8_no_XZ_min_E,W8_no_XZ_unc_E,W8_no_ZX_name_T,W8_no_ZX_min_T,W8_no_ZX_name_AT,W8_no_ZX_min_AT,W8_no_ZX_name_E,W8_no_ZX_min_E,W8_no_ZX_unc_E,W8_no_YZ_name_T,W8_no_YZ_min_T,W8_no_YZ_name_AT,W8_no_YZ_min_AT,W8_no_YZ_name_E,W8_no_YZ_min_E,W8_no_YZ_unc_E,W8_no_ZY_name_T,W8_no_ZY_min_T,W8_no_ZY_name_AT,W8_no_ZY_min_AT,W8_no_ZY_name_E,W8_no_ZY_min_E,W8_no_ZY_unc_E,UV_HWP,QP,B_HWP
0,3,0.057295779513082325,0.9920470784166557,0.9587797983153461,0.9920576686679323,6,-2.4907187987453522e-05,6,-2.3874185111465336e-05,5,0.0015307007217570715,0.0003402195906139352,3,-4.999999146662083e-05,3,-4.792898380310889e-05,3,0.001419909061204554,0.0007420161943535003,6,-0.0002499999583331792,6,-0.00023969490962958296,5,-0.0078484185047384,0.0013245047048149,8,-2.499986200691154e-05,8,-2.3959499685644904e-05,9,-0.001717871651041804,0.001801414308698778,4,-0.0004981213873444961,4,-0.00047758864852752783,3,-0.007848738570080924,0.0013245891715928811,12,-0.00024999995833333575,7,-0.0002396949096297291,12,-0.008679959584256141,0.0014676648111044794,17,-0.0002537222443581709,17,-0.00024326347297253274,15,-0.008684163552913078,0.001468018296134825,19,-0.0004999999166665271,24,-0.00047938981925935023,24,-0.007852336551437012,0.0013249102676890037,28,-0.00043373371702255456,28,-0.00041585509195621794,27,-0.0018037562992911896,0.0017673947876607403,36,-4.999999136374696e-05,36,-4.792898678465055e-05,33,-0.001860975278113042,0.001806221348580143,-133.03895667071788,-12.11346435546875,0
0,3,18.045836623610466,0.9914820353914727,0.9587797983153461,0.9937590943130407,6,0.001183178624582705,6,0.001753170104621192,6,0.004727579469640475,0.00047393526141734565,3,-0.01548888703106856,3,-0.013917568932896904,3,-0.009250443551026388,0.0012744907882095877,6,-0.07744443515534843,6,-0.07425215991889085,6,-0.07572238413901189,0.0013595625402461349,8,-0.007744443515528519,8,-0.006478651492756664,9,-0.004686516990202855,0.0010939909967325142,4,-0.15430694388143293,4,-0.14794078945298547,3,-0.1504777039837294,0.0016039685018006682,7,-0.07744443515534849,10,-0.07425215991889089,12,-0.07619181925288275,0.0013615366202204477,17,-0.0785975174711436,15,-0.07533395451198174,15,-0.07625046394341181,0.001368228488571905,21,-0.15488887031069162,21,-0.14850431983778187,24,-0.15051407429058392,0.001606820470510407,28,-0.13436107328743468,27,-0.1288201793930968,27,-0.12941011847576286,0.0016797543105499385,36,-0.015488887030948383,36,-0.013917568933084691,36,-0.009320092839661703,0.0011707893712771817,-128.88597611058015,-12.11346435546875,0
0,3,36.03437746770785,0.9877822103045181,0.9587797983153461,0.9929516914793385,6,0.018657082534164385,6,0.02027693482465917,6,0.021547316374472658,0.0009355525149786822,3,-0.029413527831026104,3,-0.024907408242997253,3,-0.02014241221615405,0.00157571858426651,6,-0.14706763916465782,6,-0.14100548141700453,6,-0.1519767872714486,0.0016637747689192072,8,-0.01470676391616943,8,-0.010715333050301479,9,-0.0114781839392354,0.0018519734588170079,4,-0.2930301951047577,4,-0.28093470260199116,3,-0.2875527080645238,0.0015174597854050538,7,-0.14706763916465782,9,-0.14100548141700475,12,-0.1524522586548674,0.0016736290233098459,17,-0.1492573522616083,15,-0.1430293901337744,15,-0.15311907557404753,0.0016651316337577245,23,-0.2941352783293155,20,-0.2820109628340094,24,-0.28783407200474115,0.001513719132326452,28,-0.25515281768624454,28,-0.244627796670985,27,-0.2440228326867024,0.0014542558129492975,36,-0.02941352783290524,36,-0.024907408242702114,36,-0.02038231582445668,0.0014884796055951801,-124.58071426323625,-12.11346435546875,0
0,3,54.022918311805235,0.9818363720826078,0.9587797983153461,0.9898713327701738,6,0.046831986034418724,6,0.04994761121711856,2,0.05104740994372324,0.0018825961757656146,3,-0.040462602187411795,3,-0.03265237380401734,3,-0.024827421099682917,0.0022405210420708382,6,-0.20231301093705897,6,-0.1939736278228038,6,-0.2087381198112787,0.0017049475111880787,8,-0.020231301093704662,8,-0.013019953442370724,9,-0.019806770651963373,0.001705252484938788,4,-0.4031058185462454,4,-0.38646182671306095,3,-0.3950793255929703,0.001597004480211055,7,-0.20231301093705895,7,-0.1939736278228038,12,-0.20937437542713963,0.0016764761930968986,17,-0.2053252810207528,15,-0.19673102838524759,15,-0.2098099638696611,0.0017597514434963002,20,-0.40462602187411445,19,-0.3879472556456076,21,-0.39543634047997533,0.0016097094945263823,28,-0.3509999554517501,28,-0.33651896692185235,27,-0.33526969108724225,0.0015779112639396876,36,-0.04046260218597961,36,-0.032652373810125535,36,-0.024999685848094783,0.0022286300311553696,-120.26576570409688,-12.11346435546875,0
0,3,72.01145915590261,0.9772247868763261,0.9587797983153461,0.9908761700828567,6,0.0749989865307085,6,0.07979541301544749,2,0.07068204186311366,0.0016352828565887622,3,-0.04755591502685619,3,-0.037182509909974626,2,-0.03481544128743719,0.0017418091706876422,6,-0.23777957516812154,6,-0.22797825312320028,6,-0.23706781199638602,0.0012680065783668047,8,-0.023777957516812054,8,-0.014005324871876751,9,-0.025761179459845074,0.0017832560901193564,4,-0.47377244714896005,4,-0.4542076627158371,6,-0.45770148814541345,0.0010163059554288579,7,-0.23777957516812154,10,-0.22797825312320028,12,-0.23762730849757002,0.0012783386409175885,17,-0.24131991247736345,15,-0.23120152667762311,15,-0.23919073316227207,0.0013012694298771125,20,-0.4755591503362431,19,-0.4559565062464005,21,-0.4584304034551958,0.00102082290934999,28,-0.4125321446445739,28,-0.39551113583418096,27,-0.3922816176307882,0.000926681654331807,36,-0.04755591499147574,36,-0.03718250990994512,33,-0.036211504939961114,0.0017478757679004141,-115.89486510528192,-12.11346435546875,0
0,3,90.0,0.978299038916001,0.9587797983153461,0.9905727268378121,2,0.0875,2,0.0931677777316399,6,0.08139956252643318,0.0018754402001705155,2,-0.04999999999999999,3,-0.03866444453672016,3,-0.035965387948441896,0.0019416672830993612,6,-0.24999999999999992,6,-0.23969494957883647,6,-0.24150506635461816,0.001374639070535115,8,-0.024999999999999994,9,-0.014254722063056585,8,-0.030102657630276558,0.001895232014906165,5,-0.4981214711292817,5,-0.4775501865866033,6,-0.4780312174716902,0.0012446737784065005,7,-0.25,10,-0.2396949495788365,9,-0.24222728541237726,0.0013879581207425482,17,-0.2537222891273053,16,-0.24307797145140145,18,-0.24353946937376428,0.0014024859112694741,20,-0.49999999999999967,19,-0.47938989915767305,21,-0.47866927498457124,0.0012473069172711914,27,-0.4337337893224369,26,-0.41583753405462964,27,-0.41351071387592,0.001211369997367235,31,-0.05000000000000007,36,-0.038664444536720244,31,-0.039150679545458866,0.0019234991510309414,-111.44581057474596,-12.11346435546875,0
