,trial,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,3,0.057295779513082325,0.9920470784166557,0.9587797983153461,0.9920576686679323,6,-2.4907187987427935e-05,6,-2.3874185111532557e-05,5,0.0015307007217570416,0.00034021957856022073,3,-4.9999991508317514e-05,3,-4.792898722706315e-05,3,0.0014199090710543907,0.0007421651193198924,6,-0.0002499999583333032,6,-0.00023969490962972347,5,-0.00784841850453967,0.0013245046442665691,8,-2.4999993683250642e-05,8,-2.3959499708520703e-05,9,-0.0017178716724313907,0.00180140711195096,-133.03895667071788,-12.11346435546875,0
0,3,18.045836623610466,0.9914820353914727,0.9587797983153461,0.9937590943130407,6,0.0011831786245826946,6,0.001753170104621199,6,0.004727579469640478,0.0004739352669603169,3,-0.015488887031062843,3,-0.013917568924705963,3,-0.009250443550476606,0.0012744873753270025,6,-0.07744443515534845,6,-0.07425215991889089,6,-0.07572238413622003,0.0013595624403370404,8,-0.007744443515525654,8,-0.0064786514916646,9,-0.004686516989341055,0.0010939988275111322,-128.88597611058015,-12.11346435546875,0
0,3,36.03437746770785,0.9877822103045181,0.9587797983153461,0.9929516914793385,6,0.01865708253416437,6,0.020276934824659178,6,0.02154731637447268,0.0009355525191777216,3,-0.02941352782379146,3,-0.02490740824300855,3,-0.02014241221604869,0.001575719947170161,6,-0.14706763916465782,6,-0.14100548141700464,6,-0.15197678725031208,0.0016637738563605449,8,-0.014706763916463944,8,-0.010715333050348538,9,-0.011478183905692885,0.0018519862421792564,-124.58071426323625,-12.11346435546875,0
0,3,54.022918311805235,0.9818363720826078,0.9587797983153461,0.9898713327701738,6,0.04683198603441868,6,0.04994761121711855,2,0.05104740994372328,0.0018825961733798732,3,-0.040462602186731894,3,-0.03265237381030356,3,-0.02482742111318406,0.0022405302225359473,6,-0.20231301093705897,6,-0.19397362782280383,6,-0.20873811979314877,0.0017049483031087698,8,-0.020231301093666942,8,-0.013019953442370669,9,-0.01980677065133052,0.0017052525522087323,-120.26576570409688,-12.11346435546875,0
0,3,72.01145915590261,0.9772247868763261,0.9587797983153461,0.9908761700828567,6,0.0749989865307085,6,0.07979541301544747,2,0.07068204186311369,0.0016352828581242375,3,-0.04755591503358361,3,-0.0371825099074409,2,-0.034815441287448956,0.0017418092402512765,6,-0.2377795751681215,6,-0.2279782531232002,6,-0.23706781199387472,0.0012680055805628448,8,-0.023777957516564002,8,-0.014005324871848274,9,-0.02576117944140896,0.0017832527537706895,-115.89486510528192,-12.11346435546875,0
0,3,90.0,0.978299038916001,0.9587797983153461,0.9905727268378121,2,0.0875,2,0.0931677777316399,6,0.08139956252643316,0.001875440199806973,3,-0.05000000000000007,2,-0.038664444536720216,3,-0.03596538794445295,0.0019416677243223037,6,-0.24999999999999997,6,-0.23969494957883652,6,-0.24150506635217575,0.0013746396135289312,8,-0.02499999999999994,9,-0.014254722063056585,8,-0.030102657630307672,0.0018952319988923866,-111.44581057474596,-12.11346435546875,0
