,chi,gamma
0,0.001,0.48+/-0.06
1,0.31495926535897933,-0.715+/-0.017
2,0.6289185307179587,-0.899+/-0.008
3,0.942877796076938,-0.985+/-0.006
4,1.2568370614359172,-1.033+/-0.004
5,1.5707963267948966,-1.071+/-0.006
