,trial,eta,chi,fidelity,purity,AT_fidelity,W3_min_T,W3_min_AT,W3_min_E,W3_unc_E,W5_t1_min_T,W5_t1_min_AT,W5_t1_min_E,W5_t1_unc_E,W5_t2_min_T,W5_t2_min_AT,W5_t2_min_E,W5_t2_unc_E,W5_t3_min_T,W5_t3_min_AT,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.028725683,0.021795737,0.000377635,0.000990513,0.005643702,4.33E-06,0.000456724,-0.014973468,-0.035265066,-0.029803377,0.0004973,-0.052449156,-0.051350783,-0.029803377,0.000552089,-115.2803939,-27.027,67.5
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.028596939,0.023789886,0.000195143,0.002749639,0.00767519,0.010929901,0.000413968,-0.024505449,0.000686414,-0.03463294,0.000470653,-0.024505449,-0.051049884,-0.03463294,0.000578496,-115.2803939,-27.027,67.5
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.028596733,0.021994853,0.000382516,0.003788371,0.001937517,-0.003562348,0.000445929,-0.002270586,-0.032457201,-0.003877149,0.000425388,-0.045186594,-0.049271082,-0.043689063,0.000417401,-115.2803939,-27.027,67.5
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.028646432,0.023370997,0.000408807,0.004216838,0.003485195,-0.001119465,0.000452708,0.003326371,-0.028956803,-0.024418989,0.00033784,-0.047062794,-0.028956803,-0.036481003,0.000456028,-115.2803939,-27.027,67.5
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.028602272,0.02054365,0.000325134,0.009188975,0.002416392,-0.007295566,0.000426966,0.004416338,0.002416392,-0.027661154,0.00040714,-0.060742398,-0.028288471,-0.027661154,0.000555957,-115.2803939,-27.027,67.5
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.028700475,0.021538478,0.000236173,2.24E-05,-0.000876792,0.002587198,0.000430182,2.24E-05,-0.016680044,0.002587198,0.000528459,-0.05407163,-0.04867686,-0.037826475,0.000432474,-115.2803939,-27.027,67.5
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.028601154,0.020511662,0.000285751,0.00867913,0.009682855,-0.001415611,0.000448723,0.006001878,-0.015497548,-0.018003027,0.000460154,-0.057541641,-0.03457991,-0.040443825,0.000417373,-115.2803939,-27.027,67.5
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.028622526,0.021124196,0.000357132,0.001188459,-0.000593065,0.00699648,0.000430112,-0.029540159,-0.021692273,-0.002453721,0.000248678,-0.052320898,-0.054869019,-0.033722659,0.000440869,-115.2803939,-27.027,67.5
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.02878694,0.020641347,0.000274024,0.000114899,0.002569293,5.68E-05,0.000413632,-0.035144725,0.002569293,5.68E-05,0.000416505,-0.06246906,-0.056648184,-0.029363739,0.00045428,-115.2803939,-27.027,67.5
0,1,45,90,0.482119132,0.947454724,0.891578754,0.03125,0.028745638,0.020480718,0.000289973,0.006161895,0.002699871,-0.00182118,0.000415826,-0.043021224,-0.032572485,-0.00182118,0.0005181,-0.051783368,-0.057452005,-0.019938422,0.000384845,-115.2803939,-27.027,67.5
