,trial,eta,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,1,45.0,0.057295779513082325,0.49077889671744196,0.9863428804974689,0.9549303888910562,1,0.0005660178221336201,3,5.451964469948912e-05,2,8.062233212149418e-05,6.0141238538689376e-05,3,0.03030981137517297,3,0.00020310216560810512,3,0.0408518903735687,0.00037634088676645575,6,0.008042992574593441,4,0.00020310216560810512,6,-0.005200878237925295,0.00016349818667408465,9,0.00010178108031287658,7,0.00020310216560810512,7,-0.005200878237925295,0.0006840116713868699,-136.7361796634935,-28.13743446751645,67.5
0,1,45.0,18.045836623610466,0.4909435142234865,0.9885664116155258,0.9597991366737755,2,0.0022911442207844065,3,0.003029134306263105,2,-0.0007917678207457963,8.66521515122287e-05,3,0.008662949452750934,3,0.0023429873027959055,3,0.015626513311972158,0.00029588086566595964,6,-0.018489111623365244,4,0.0023429873027959055,6,0.0001838074293116108,0.00042586005679999875,7,-0.018489111623365244,8,-0.010403543935053421,9,-0.026878595925200328,0.00032895739664902423,-133.23390503466504,-28.13743446751645,67.5
0,1,45.0,36.03437746770785,0.4924768893207652,0.9911038142169439,0.9683392583815026,1,0.00871900330351874,3,0.00869428697433898,2,0.009115240768080629,0.00038845606170970047,3,0.008607422672660786,3,0.04354558176147186,3,0.011106305804141615,0.000370022121089172,6,0.005609669784814746,6,-0.005239344537622316,6,-0.006737740470295536,0.0004538545031514428,8,-0.016187102568021125,7,-0.005239344537622316,8,-0.04586058039584359,0.00042517560307417737,-128.74104370834795,-28.13743446751645,67.5
0,1,45.0,54.022918311805235,0.4921675130002489,0.9853793818438173,0.9587187119268218,2,0.017920331407016394,1,0.019004199708471614,3,0.011169046840338879,0.0004650439776002745,3,0.0052526043762045945,3,0.0032978408159199117,3,0.02750407411591859,0.0003422908029061635,6,-0.04346427795126971,6,-0.026924333318334336,6,0.005797157936096078,0.000597470690873738,7,-0.04346427795126971,7,-0.026924333318334336,8,-0.04626677904894911,0.00043063869003393717,-124.35030520977472,-28.13743446751645,67.5
0,1,45.0,72.01145915590261,0.4880647211881767,0.9642086129617455,0.9195637608960741,4,0.027234539795937308,3,0.02600967953106593,2,0.013172220126383347,0.0002345834538713715,3,0.013775661840918921,3,0.0025810441855689883,1,0.020697767280821885,0.00059969142964043,6,0.006619801634479955,4,0.0025810441855689883,6,-0.017878743386157053,0.00045265125382311074,9,-0.056081400398503,9,-0.028259050311813576,9,-0.01894896040093405,0.0005549666129621881,-119.86738939326057,-28.13743446751645,67.5
0,1,45.0,90.0,0.00901622223496079,0.9471605809468201,0.01633584987533106,2,0.031249999999999986,6,0.028581962861583408,2,0.019417570008479407,0.00032024273304690864,1,0.001407788825304266,3,-0.0009019329685451953,3,0.0021126361520003934,0.0004496263780098809,6,-0.008751852004523417,4,-0.0009019329685451953,6,-0.04582260579751265,0.0004103172703150576,8,-0.05875349817258054,8,-0.03829146044102643,7,-0.04582260579751265,0.00031284097324959755,-67.12737478049428,-28.13743446751645,67.5
