,W3_name_T,W3_min_T,W5_t1_name_T,W5_t1_min_T,W5_t2_name_T,W5_t2_min_T,W5_t3_name_T,W5_t3_min_T
0,4,-0.0002499999583333301,3,-0.0004999999164765068,5,-0.0002499999583333301,7,-0.0002499999583333301
0,4,-0.07744443515534846,3,-0.1548888703106969,5,-0.07744443515534846,7,-0.07744443515534846
0,2,-0.14706763916465782,3,-0.2941352783293155,5,-0.14706763916465782,7,-0.14706763916465782
0,2,-0.202313010937059,3,-0.404626021874118,5,-0.202313010937059,7,-0.202313010937059
0,2,-0.2377795751681216,3,-0.4755591503362431,5,-0.23777957516812154,9,-0.2377795751681216
0,2,-0.25,3,-0.5,6,-0.2500000000000001,7,-0.25
