,W3_name_T,W3_min_T,W5_t1_name_T,W5_t1_min_T,W5_t2_name_T,W5_t2_min_T,W5_t3_name_T,W5_t3_min_T
0,1,0.0015477598712379803,3,2.7755575615628914e-17,5,6.467049118441537e-15,8,-0.09621752698962902
0,4,0.0015477598712379803,2,1.1102230246251565e-16,5,4.746203430272544e-15,9,-0.09621752698962904
0,1,0.001547759871238008,2,1.3877787807814457e-16,4,8.326672684688674e-17,9,-0.09621752698962899
0,1,0.001547759871238008,1,1.1546319456101628e-14,6,2.7517051137682103e-15,8,-0.09621752698962902
0,1,0.001547759871238008,1,8.326672684688674e-17,5,6.467049118441537e-15,9,-0.09621752698962902
0,1,0.001547759871238008,3,3.0531133177191805e-16,6,1.5308934675495323e-16,8,-0.09621752698962902
