,W3_name_T,W3_min_T,W5_t1_name_T,W5_t1_min_T,W5_t2_name_T,W5_t2_min_T,W5_t3_name_T,W5_t3_min_T
0,4,-0.0002499999583333301,3,-0.0004999999166664104,5,-0.0002499999583333301,8,-0.0002499999583333301
0,1,-0.07744443515534846,3,-0.15488887031069687,5,-0.07744443515534846,8,-0.07744443515534846
0,1,-0.14706763916465782,3,-0.29413527832931563,5,-0.14706763916465782,8,-0.14706763916465782
0,1,-0.20231301093705903,3,-0.4046260218741179,5,-0.202313010937059,9,-0.20231301093705906
0,1,-0.23777957516812157,3,-0.475559150336243,5,-0.23777957516812154,8,-0.23777957516812154
0,1,-0.25,3,-0.5000000000000002,5,-0.25,8,-0.25
