,trial,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,2,0.057295779513082325,0.9859962511961446,0.9444532534054896,0.9860074502785682,1,9.374998630184983e-08,4,9.712523810212481e-08,1,0.002134642787883013,0.0003388081631027145,3,1.1102230246251565e-16,3,1.3502115675523285e-08,1,0.0004172064293980794,0.00042158064424106117,6,3.173407878097052e-16,6,1.3501012910438975e-08,6,-0.0010210028453594353,0.0018955297655895347,9,-0.0002499999583333856,7,-0.0002361132739991112,7,-0.045027971055980054,0.0017288164658754333,-44.51618973052395,-3.8691303453947365,22.5
0,2,18.045836623610466,0.9871522526200802,0.9444532534054896,0.9847412631523724,2,0.009164434525127108,1,0.009500891416064805,3,0.0002788704239705675,0.0008055717348918709,1,3.0808688933348094e-15,1,0.001298961545669025,3,-0.001280643721065844,0.0008502072884506554,4,1.1379786002407855e-15,5,0.001298961545671773,4,-0.007352143852457332,0.0009669428870588211,9,-0.07744443515534846,9,-0.07314264874061929,7,-0.11304784563466116,0.001956255211001751,-48.440665418741226,-3.8691303453947365,22.5
0,2,36.03437746770785,0.9842765338231584,0.9444532534054896,0.9852777569926381,4,0.034876007537744586,1,0.03623772889020899,3,0.013271182165352946,0.00117863973808723,3,1.784683512084939e-14,1,0.004716682857433152,3,-0.0070510850335019915,0.001765653468765636,6,2.498001805406602e-16,5,0.004716682857433679,4,-0.019933703997246838,0.0014858481411218485,9,-0.14706763916465782,7,-0.13889851027972566,7,-0.17846270383887497,0.0019275043716495846,-52.95956644741593,-3.8691303453947365,22.5
0,2,54.022918311805235,0.9835683276357596,0.9444532534054896,0.9809353323078425,1,0.07166861127612417,1,0.07479475795233098,3,0.042890316753420255,0.0014543888922078677,3,3.608224830031759e-16,2,0.009003795575148688,3,-0.007090668244915027,0.001961595097304316,6,5.545564008002657e-14,5,0.009003795575148715,4,-0.03232486869622789,0.001641065877460707,9,-0.202313010937059,9,-0.19107518138576574,7,-0.2208576421198859,0.0015991444788517393,-57.379224103957206,-3.8691303453947365,22.5
0,2,72.01145915590261,0.9759358516496667,0.9444532534054896,0.9857833730139652,2,0.10824085488177229,1,0.11373193698590256,3,0.0806732463727891,0.002118756020978154,1,1.249000902703301e-16,3,0.01252722452488765,3,-0.0015923149091708264,0.0021728165941950076,4,6.661338147750939e-16,4,0.012527224524887665,6,-0.030802602909820676,0.0020189944831841325,7,-0.2377795751681215,9,-0.22457169336090754,7,-0.2371283879532835,0.0014831761310432068,-61.82420336789585,-3.8691303453947365,22.5
0,2,90.0,0.9707648840386098,0.9444532534054896,0.9880099125825806,5,0.12499999999999992,1,0.13194334332431373,5,0.10676063849510661,0.0019943390871394145,2,1.3877787807814457e-17,2,0.013886686648627612,3,0.002037270300014467,0.0017755804259568205,4,-2.7755575615628914e-17,6,0.013886686648627578,6,-0.025858059596725297,0.0020268210398996867,7,-0.24999999999999997,9,-0.23611331335137242,7,-0.22940698706472473,0.001332497961806693,-66.33069973145304,-3.8691303453947365,22.5
