,trial,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,3,0.057295779513082325,0.5776925101251166,0.9822584117178541,0.5776990653734617,1,1.0968748748174662e-07,1,1.1022600387988746e-07,2,0.0027545283099341916,0.00026163536569097416,1,5.7124821423184704e-08,2,6.181066925551432e-08,2,0.0015670995040675537,0.0002958978226003326,6,8.494131070735378e-08,6,3.491141792322239e-08,6,-0.002062346378018054,0.0009196197022493925,9,-2.6767318096754256e-07,9,-2.2098476980259019e-07,9,0.001975187513486229,0.0004723972345580142,-133.61982031117293,-32.015417559261046,67.5
0,3,18.045836623610466,0.5766544073670956,0.9788967344517627,0.5789050486612348,1,0.010757298064927201,1,0.010821430663412374,1,0.010529606868535546,0.0004369022979153031,1,0.005518766454605561,2,0.0057980995414317685,1,0.000801144192287417,0.0006570583083882671,6,0.003387338350815561,6,0.0034255861684963085,6,-0.0031872074434310498,0.001223047114887092,9,-0.0240554790166665,9,-0.022828000555796167,9,-0.022380322748124973,0.0013733446483852878,-130.31707318736807,-32.015417559261046,67.5
0,3,36.03437746770785,0.575178315445359,0.9637700611388207,0.5768551068756823,1,0.04138396850794618,2,0.04183626366530352,1,0.04016191063391718,0.0008746503022829367,1,0.02052482742727723,2,0.022359518236843602,1,0.008013531687258657,0.001066256532443773,6,0.013126972220955546,6,0.013382990098092074,6,-0.0031756459824630323,0.0015603054796026567,9,-0.07558968202137462,9,-0.06962532642578956,9,-0.07604435411018104,0.0018144027763414001,-125.49159521641741,-32.015417559261046,67.5
0,3,54.022918311805235,0.5700368109417212,0.9571568739328504,0.5719450669547012,5,0.08372793641894269,5,0.08676163906035304,1,0.08371353323643622,0.0014989146216440841,1,0.04053258546843261,1,0.04504603684874195,1,0.020052572745149974,0.0015433400409547873,6,0.02809687929773913,6,0.028759941897917973,6,0.002071337423918858,0.0017127821895965558,9,-0.12682512188218875,9,-0.1158057731333868,9,-0.1301094406855838,0.0017607501800732512,-121.17706174275025,-32.015417559261046,67.5
0,3,72.01145915590261,0.5667306094218634,0.9464592488841992,0.5733560466538006,5,0.11659279744610722,5,0.12104861141518122,5,0.12077569747219098,0.0011779792390780419,1,0.05823269959934639,1,0.06679672974631842,1,0.03125411575675788,0.0018641541772988117,6,0.04644168192419562,6,0.047867991437251955,6,0.012059819010693279,0.0016918008330014428,9,-0.1624015649605158,9,-0.14543255440905875,9,-0.16296230060363742,0.0013365442007703004,-116.95197354756897,-32.015417559261046,67.5
0,3,90.0,0.5654278977227174,0.9499018089651183,0.5763977298588255,2,0.16249999999999992,5,0.1668835917155521,5,0.14504940963309543,0.0020981596250388515,2,0.06543971174708246,3,0.07468584832542999,3,0.0401519597975146,0.0018289709622860207,5,0.06543971174708249,5,0.06747715943995658,6,0.02360970651339169,0.0016741854635444577,7,-0.17499999999999993,7,-0.15809186052572738,7,-0.1745903565619702,0.0015907284906395542,-112.57241922528662,-32.015417559261046,67.5
