,trial,eta,chi,fidelity,purity,AT_fidelity,W3_min_AT,W3_min_E,W3_min_T,W3_name_AT,W3_name_E,W3_name_T,W3_unc_E,W5_t1_min_AT,W5_t1_min_E,W5_t1_min_T,W5_t1_name_AT,W5_t1_name_E,W5_t1_name_T,W5_t1_unc_E,W5_t2_min_AT,W5_t2_min_E,W5_t2_min_T,W5_t2_name_AT,W5_t2_name_E,W5_t2_name_T,W5_t2_unc_E,W5_t3_min_AT,W5_t3_min_E,W5_t3_min_T,W5_t3_name_AT,W5_t3_name_E,W5_t3_name_T,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,7,45.0,0.057295779513082325,0.4891622331490914,0.9856381853001132,0.9504253054915638,9.195312479724378e-08,0.0010684580535213206,9.374998630184983e-08,2,3,4,0.000575514236818531,-2.503025564593031e-12,-0.001979937217106792,2.969846590872294e-14,3,3,3,0.0016228706472812336,-7.28261266840497e-10,0.00026803783942512364,3.4969834636732595e-17,6,6,6,0.0012183456406783648,-0.0002473071189352527,-0.09496088608025016,-0.0002499999583333301,8,9,8,0.001671516852799138,-136.14106569109407,-26.98906575253135,67.5
0,7,45.0,18.045836623610466,0.45260755487397425,0.9829016814877465,0.8742724174481622,0.008954286736864428,0.012342133975514646,0.00916443452512708,2,3,4,0.0004628564377133895,-3.3044819044369955e-05,-0.00014123029215537541,3.608224830031759e-16,3,3,3,0.0016110956619438757,-0.00010318643356289903,-0.0032414990247721757,8.430756093247282e-16,6,6,6,0.001449244252476983,-0.07645141568137442,-0.03951071644105822,-0.07744443515534846,9,9,8,0.0016548721655545993,-139.03737730149513,-26.98906575253135,67.5
0,7,45.0,36.03437746770785,0.4934780416094672,0.988131755701237,0.964780708382378,0.034312538899604846,0.019792245452474877,0.034876007537744586,2,3,3,0.001306732242029108,-0.00016830360483349738,-0.00883638841380402,8.604228440844963e-16,3,3,3,0.0016376040670908916,-0.0002576453089660896,-0.0032919854570628293,7.148448499805227e-14,6,6,6,0.001098098900055969,-0.14575882201760737,-0.19972668724614157,-0.14706763916465784,9,9,8,0.0017341025633854786,-128.40393955566833,-26.98906575253135,67.5
0,7,45.0,54.022918311805235,0.4933358700652768,0.9794533673433526,0.9507272965613275,0.06960449100100698,0.061364232774741165,0.0716686112761242,2,3,2,0.0019733256337677984,-0.0008672223325936063,-0.01310225517033392,1.887379141862766e-15,3,3,3,0.0021162669282047677,-0.0008452305884420613,-0.007400293550979126,1.8041124150158794e-16,6,6,6,0.0019123525019940249,-0.19919731713303457,-0.22463090894925664,-0.202313010937059,9,9,8,0.0023173469714339143,-123.99423495196667,-26.98906575253135,67.5
0,7,45.0,72.01145915590261,0.49176085921605034,0.9705823620120702,0.9364835475201192,0.10358678903009046,0.11308106787693405,0.10824085488177228,2,2,4,0.001678778458630495,-0.0024469349200281036,-0.014339001507886986,5.412337245047638e-16,3,3,3,0.0019202145034597474,-0.001672016158574291,-0.00663142246241169,5.42343947529389e-14,6,6,6,0.0019450604043884118,-0.23254078629018707,-0.22324592067931814,-0.23777957516812154,9,9,9,0.0014608031567954352,-119.58226463920191,-26.98906575253135,67.5
0,7,45.0,90.0,0.48668954274079984,0.9532340098112991,0.9069188003363845,0.11555312147774077,0.1477671193944581,0.12499999999999992,6,6,1,0.0014248235175941982,-0.005915720645026318,-0.01023856903925325,-2.7755575615628914e-17,3,3,1,0.0019970519981608015,-0.0029756711633391053,-0.00032818231851930446,-5.551115123125783e-17,4,6,5,0.0017442127124677274,-0.24126074761205318,-0.20181484409272055,-0.24999999999999994,9,9,8,0.0012407530735099328,-115.08584371089034,-26.98906575253135,67.5
