,trial,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,3,0.057295779513082325,0.95,0.95,0.95,1,9.374998630184983e-08,4,9.67968614429271e-08,1,0.0,0,3,2.8388402739665253e-13,3,1.2187496317705993e-08,1,0.0,0,6,1.3036889885786406e-13,6,1.2187496413863079e-08,4,0.0,0,7,-0.00024999995833330235,9,-0.00023749996041660948,7,0.0,0,0.0,0.0,0.0
0,3,18.045836623610466,0.9794928358097162,0.9518440021948248,0.9795465957610145,1,0.009164434525127108,3,0.009457206410931979,3,-0.00337065801734035,0.0006020149250823315,1,8.326672684688674e-17,2,0.0011300263187144222,3,-0.004100405687006314,0.0008675748143258923,5,4.191091917959966e-15,5,0.0011300263187192239,4,-0.006408573176778731,0.0006512938458994135,9,-0.07744443515534849,9,-0.07371502110598444,7,-0.139626989129236,0.0016342377481814501,-132.50543769,-24.251088513826073,22.5
0,3,36.03437746770785,0.9815436700709665,0.9518440021948248,0.9829600370287487,3,0.034876007537744586,2,0.0360605434208873,3,0.012176052467523235,0.001627288579298238,3,2.220446049250313e-16,1,0.004099540883182068,3,-0.004722267781401418,0.0019502655337037523,4,2.4424906541753444e-15,5,0.004099540883181596,6,-0.016568351528268133,0.0011803538366546638,9,-0.14706763916465787,9,-0.13998545025583226,7,-0.19440708033730786,0.0015969370011861335,-127.38849844,-25.20815734863281,22.5
0,3,54.022918311805235,0.9807114234693153,0.9518440021948248,0.9826240228332025,2,0.0716686112761242,4,0.07438596909534746,3,0.0365435878296369,0.0015449562389927396,2,2.7755575615628914e-17,1,0.007816568309108873,3,-0.004362513584974914,0.0020508111343491373,4,6.9111383282915995e-15,5,0.007816568309108679,4,-0.025064665400979264,0.00178903773675019,7,-0.202313010937059,9,-0.1925704260264156,7,-0.2493763457724629,0.0017894297705912195,-122.98117298,-25.603982222707646,22.5
0,3,72.01145915590261,0.9756632652357323,0.9518440021948248,0.9830843729848834,3,0.10824085488177229,2,0.11300699009693094,3,0.06387467997965432,0.0021595621195349304,1,1.249000902703301e-16,3,0.010864644708052179,3,-0.0016726129019374383,0.0022008333057044293,5,8.326672684688674e-17,5,0.010864644708051568,6,-0.02951323625730415,0.0024499009358923047,9,-0.23777957516812154,9,-0.22632906246820994,7,-0.27962900076826525,0.0014524421311701498,-118.51952741,-25.831407406455597,22.5
0,3,90.0,0.9713674059388134,0.9518440021948248,0.9861414797906028,5,0.12499999999999993,5,0.1310194997256468,5,0.08176716123569966,0.0020143114473319813,3,-2.0816681711721685e-17,3,0.012038999451293747,3,0.002628343862999174,0.001885721268940924,6,2.7755575615628914e-17,5,0.012038999451293747,6,-0.027230348938077048,0.0017602384670383183,9,-0.24999999999999767,9,-0.2379610005487062,7,-0.2804537129894157,0.0016023637796874026,-114.11387723,-26.00327309056332,22.5
