,trial,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,1,0.057295779513082325,0.9852365968838811,0.9914933918830174,0.9852425353428914,1,9.374998630184983e-08,1,9.427938801875868e-08,2,0.0022585977417825176,0.00045740692348599687,3,1.1102230246251565e-16,3,2.117606145990436e-09,3,0.000529128097082332,0.0008058018926749164,6,1.1647489756888973e-12,6,2.1177536950109912e-09,6,-0.003129361914430712,0.0015466964517572596,9,-0.0002499999583334134,9,-0.00024787330665498875,8,-0.08243317306533512,0.0015661136882949075,-88.96877553903373,-7.165756064967105,22.5
0,1,18.045836623610466,0.9813559965128881,0.9874471200695489,0.98399213609172,1,0.009164434525127108,1,0.009242109088642592,3,0.008845355987278314,0.0006664353280283742,1,4.440892098500626e-15,3,0.0002994398205465043,3,-0.00039617284106391315,0.0015322865948523225,4,1.0547118733938987e-15,4,0.0002994398205473925,4,-0.004823271600042839,0.0008133344497224519,7,-0.0774444351553484,9,-0.07647228445956175,9,-0.028056191211764447,0.0014378637412000976,-85.36889389746133,-7.165756064967105,22.5
0,1,36.03437746770785,0.9752894492128845,0.9687246425888558,0.9864505434311663,1,0.034876007537744586,2,0.03565122916946739,3,0.03612764428735987,0.0005704848773839011,3,2.220446049250313e-16,2,0.0026778342027582724,3,-0.0008665442751683572,0.001895649720458295,6,2.7755575615628914e-17,6,0.0026778342027580435,4,-0.009237908613316859,0.0012877544952477238,9,-0.1470676391646578,9,-0.14246804618616993,7,-0.056810775946136594,0.0018261096364569792,-79.98680955451735,-7.165756064967105,22.5
0,1,54.022918311805235,0.9729852340425523,0.9587283502725374,0.9887870315003967,4,0.07166861127612417,1,0.07400318693913638,3,0.07515281847696159,0.0022036327836447633,1,6.2727600891321345e-15,1,0.006707632644225026,3,0.00262205769825527,0.002106066690679746,5,1.1934897514720433e-15,6,0.006707632644223888,4,-0.01235158649845114,0.002008218063364419,9,-0.20231301093705895,7,-0.19396321921435639,7,-0.1266644562070497,0.0013176886636810977,-75.1192540335648,-7.165756064967105,22.5
0,1,72.01145915590261,0.9737527497240647,0.9547544126580442,0.9913268018701986,3,0.10824085488177224,3,0.11272101967578632,3,0.10912046486069776,0.0022306459939549516,3,1.0408340855860843e-17,2,0.010209564709484698,3,0.003455285785433783,0.002097779998356809,5,1.6653345369377348e-16,4,0.010209564709473123,4,-0.01933867990109739,0.0017337775621691469,9,-0.23777957516812162,9,-0.22702109863171915,7,-0.18555584075710985,0.0015312719202766358,-70.41126410330168,-7.165756064967105,22.5
0,1,90.0,0.9766743562843359,0.9573125701609719,0.9904974120330312,5,0.12499999999999993,5,0.13033592872987843,3,0.11981221346505476,0.0022069948668970427,2,-1.3877787807814457e-17,3,0.010671857459757003,3,0.004395642479618529,0.0017482661750899255,6,2.7755575615628914e-17,6,0.01067185745975699,6,-0.02263497453736521,0.0018662662862341897,9,-0.25,9,-0.2393281425402412,9,-0.2185589485851243,0.0017765763725524056,-65.8108619670165,-7.165756064967105,22.5
